@RELATION ./Datasets/MP3/control.arff

@ATTRIBUTE "MFCC Overall Average_0" REAL
@ATTRIBUTE "MFCC Overall Average_1" REAL
@ATTRIBUTE "MFCC Overall Average_10" REAL
@ATTRIBUTE "MFCC Overall Average_11" REAL
@ATTRIBUTE "MFCC Overall Average_12" REAL
@ATTRIBUTE "MFCC Overall Average_2" REAL
@ATTRIBUTE "MFCC Overall Average_3" REAL
@ATTRIBUTE "MFCC Overall Average_4" REAL
@ATTRIBUTE "MFCC Overall Average_5" REAL
@ATTRIBUTE "MFCC Overall Average_6" REAL
@ATTRIBUTE "MFCC Overall Average_7" REAL
@ATTRIBUTE "MFCC Overall Average_8" REAL
@ATTRIBUTE "MFCC Overall Average_9" REAL
@ATTRIBUTE "Partial Based Spectral Centroid Overall Average" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_0" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_1" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_10" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_11" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_12" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_2" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_3" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_4" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_5" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_6" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_7" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_8" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_9" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_0" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_1" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_10" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_11" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_12" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_2" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_3" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_4" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_5" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_6" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_7" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_8" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_9" REAL
@ATTRIBUTE "Strongest Frequency Via FFT Maximum Overall Average" REAL
@ATTRIBUTE genre STRING
@ATTRIBUTE title STRING

@DATA
-119.2,6.048,-0.8842,-1.036,-1.583,-6.393,-2.499,-3.854,-3.629,-1.936,-4.242,-2.652,0.2987,1.461,-119.1,6.12,-0.9049,-1.025,-1.505,-6.488,-2.64,-3.962,-3.659,-2.015,-4.362,-2.632,0.3442,1191.0,61.06,?,?,?,64.82,26.28,39.55,36.54,?,43.57,26.18,?,615.8,'[\'Folk\']',001701.mp3
-135.6,15.82,0.7433,0.6467,0.9209,4.677,2.291,0.9475,1.114,1.14,0.9848,0.04671,-1.443,0.4307,-134.8,15.64,0.7502,0.6058,0.9382,4.867,2.192,0.9669,1.048,1.055,0.9772,0.09442,-1.446,1348.0,156.3,?,?,?,48.46,?,?,?,?,?,?,14.35,204.4,'[\'Folk\']',006854.mp3
-96.83,5.422,0.03995,0.3027,-0.4141,-0.9018,0.531,-0.8797,0.4738,-0.9213,-0.2029,0.09928,-0.7916,2.361,-96.39,5.418,0.1602,0.3822,-0.4347,-0.9507,0.4082,-0.8157,0.3558,-0.9737,-0.2029,0.1142,-0.7429,963.9,54.12,?,?,?,?,?,?,?,?,?,?,?,421.1,'[\'Folk\']',000210.mp3
-90.15,2.021,-0.1576,0.841,-0.1765,-2.204,2.766,-1.8,3.33,1.479,0.1355,0.8686,-1.129,2.884,-91.41,2.054,-0.1515,0.8134,-0.1731,-2.331,2.859,-1.831,3.384,1.502,0.06562,0.8697,-1.103,914.0,?,?,?,?,?,?,?,33.79,?,?,?,10.93,394.9,'[\'Folk\']',088868.mp3
-115.9,17.41,-0.4806,-0.8304,0.2883,0.6561,4.119,-0.9159,0.1506,-1.605,0.3499,1.788,0.02361,0.613,-115.4,17.35,-0.435,-0.9302,0.2757,0.5799,4.062,-1.066,-0.1195,-1.829,0.3511,1.779,0.02095,1154.0,173.4,?,?,?,?,40.55,?,?,?,?,17.66,?,212.8,'[\'Folk\']',116456.mp3
-109.7,14.15,-0.86,-1.04,-1.399,4.294,1.952,-0.3278,-0.7377,-0.04688,-0.1486,-0.8248,-1.428,0.6447,-109.6,14.21,-0.9487,-0.9666,-1.506,4.286,2.028,-0.3175,-0.7549,-0.129,-0.1252,-0.8079,-1.372,1096.0,142.0,?,?,14.99,42.76,?,?,?,?,?,?,13.6,231.3,'[\'Folk\']',001193.mp3
-99.86,7.53,-0.7417,0.2025,0.6309,1.495,0.234,0.3998,1.337,-1.072,-1.171,-0.8198,-1.726,1.547,-98.75,7.099,-0.7878,0.2299,0.7375,1.321,-0.1223,0.3197,1.397,-1.111,-1.402,-0.9833,-1.757,987.4,70.82,?,?,?,?,?,?,?,?,?,?,17.43,411.1,'[\'Folk\']',093710.mp3
-107.7,11.3,-1.194,0.05073,-1.297,-0.8273,0.003573,-0.5898,-0.2035,1.326,-2.01,-0.5843,-0.3244,1.747,-106.8,11.18,-1.165,0.04248,-1.392,-0.7069,-0.02115,-0.5626,-0.2574,1.442,-2.101,-0.5667,-0.3036,1068.0,111.8,11.54,?,?,?,?,?,?,14.33,20.96,?,?,378.6,'[\'Folk\']',069761.mp3
-81.34,4.947,-0.5643,-0.5842,-1.597,1.134,1.358,-4.258,0.3918,-1.143,0.5341,1.329,-1.308,1.974,-81.05,5.03,-0.5745,-0.5638,-1.59,1.098,1.289,-4.345,0.3266,-1.154,0.5504,1.339,-1.311,810.5,50.25,?,?,15.86,?,12.75,43.41,?,?,?,?,?,399.4,'[\'Folk\']',088892.mp3
-107.0,0.435,-0.9385,0.9415,-1.34,0.7135,-8.855,-3.31,-3.711,-2.544,-3.21,0.5595,-3.178,2.438,-106.7,0.4415,-0.9906,0.9283,-1.229,0.7479,-8.797,-3.311,-3.793,-2.653,-3.158,0.5919,-3.194,1067.0,?,?,?,?,?,87.94,33.0,37.82,?,?,?,31.83,727.1,'[\'Folk\']',068852.mp3
-102.5,8.474,-0.5418,-0.6259,-0.3251,0.6644,-0.3937,0.9541,0.5079,-0.1178,-0.3092,-0.8927,-0.9768,?,-102.7,8.539,-0.62,-0.6972,-0.2788,0.8462,-0.3086,0.881,0.3565,-0.1994,-0.2807,-0.8225,-0.9251,1027.0,85.32,?,?,?,?,?,?,?,?,?,?,?,443.7,'[\'Folk\']',127062.mp3
-109.0,11.11,0.1806,-0.6203,-2.41,-6.973,-1.44,-1.604,-1.068,-1.385,-0.7766,-0.8979,0.3393,1.452,-108.8,11.29,0.3129,-0.5021,-2.326,-7.25,-1.602,-1.54,-1.156,-1.377,-0.8273,-1.028,0.3025,1088.0,112.9,?,?,23.21,72.4,?,?,?,?,?,?,?,613.0,'[\'Folk\']',040236.mp3
-104.3,13.42,-0.9038,-1.685,-1.205,-2.975,1.529,0.1655,-0.2358,-0.947,-2.005,-2.036,0.2119,1.313,-103.4,13.35,-0.819,-1.505,-1.075,-3.033,1.573,0.05479,0.09865,-0.9191,-2.224,-2.218,0.02895,1034.0,133.4,?,?,?,?,?,?,?,?,22.15,?,?,465.8,'[\'Folk\']',012048.mp3
-109.3,13.76,-1.781,-0.7173,-0.7221,-1.457,1.145,-1.174,-0.1873,-0.9059,0.2776,-0.4869,-0.3147,1.118,-108.6,13.82,-1.631,-0.6321,-0.6031,-1.366,1.136,-1.189,-0.1761,-0.9107,0.3312,-0.3435,-0.16,1086.0,138.2,?,?,?,?,?,?,?,?,?,?,?,347.8,'[\'Folk\']',010385.mp3
-89.08,8.37,-0.09659,-0.7317,-0.01853,-4.075,0.218,1.231,-0.07709,-0.1481,-1.355,-1.421,-0.8679,2.366,-88.98,8.673,-0.02009,-0.5126,-0.002781,-4.026,0.1151,1.185,-0.1161,-0.0349,-1.278,-1.396,-1.105,889.8,86.6,?,?,?,40.14,?,?,?,?,?,?,?,687.4,'[\'Folk\']',010679.mp3
-142.2,22.28,-0.007073,-1.518,-0.7077,3.242,1.694,0.4457,0.2904,-0.5907,-0.6468,-1.048,-1.841,0.3448,-140.8,22.28,-0.02764,-1.446,-0.5086,3.203,1.76,0.475,0.2378,-0.6585,-0.8349,-1.179,-1.866,1408.0,222.7,?,?,?,?,?,?,?,?,?,?,?,238.9,'[\'Folk\']',083438.mp3
-94.94,11.77,-0.7334,-1.747,-1.122,2.016,0.2622,1.68,1.348,-0.5658,1.454,-0.8996,-0.9115,?,-93.97,11.69,-0.7135,-1.692,-1.158,1.888,0.2341,1.667,1.283,-0.7342,1.385,-1.034,-0.9157,939.6,116.8,?,16.83,?,?,?,16.47,12.58,?,?,?,?,303.8,'[\'Folk\']',142529.mp3
-146.1,10.58,-1.48,-0.163,0.03316,2.462,-3.65,-2.014,-0.5074,1.079,-0.2863,-4.315,-2.335,1.091,-145.5,10.17,-1.598,-0.06219,-0.01093,2.158,-3.783,-2.077,-0.2701,1.196,-0.2981,-4.34,-2.484,1455.0,101.6,?,?,?,?,37.72,?,?,?,?,43.36,?,479.0,'[\'Folk\']',107590.mp3
-133.3,10.54,1.177,-3.117,-2.613,-0.1654,-2.163,-4.239,1.487,0.6244,0.7158,0.2718,-0.4447,1.238,-132.2,10.4,1.452,-3.224,-2.721,0.03699,-1.994,-4.332,1.439,0.6223,0.8973,0.4049,-0.3553,1322.0,103.8,?,32.11,27.03,?,?,43.24,?,?,?,?,?,497.6,'[\'Folk\']',008261.mp3
-122.1,23.95,-0.8202,-0.5485,-0.635,4.752,0.6602,-0.4292,-0.589,-0.6645,-0.7353,-0.001822,-2.075,0.575,-120.9,23.82,-0.8458,-0.442,-0.7217,4.634,0.6986,-0.5254,-0.5617,-0.7952,-0.8579,0.1336,-2.02,1209.0,238.2,?,?,?,?,?,?,?,?,?,?,?,241.0,'[\'Folk\']',107577.mp3
-129.4,9.933,-0.9799,-0.5821,0.04297,3.287,0.4176,-0.9078,-2.865,-2.139,-2.429,-1.481,-0.1481,0.8967,-129.8,9.666,-0.7242,-0.3837,0.2982,3.002,0.4009,-1.199,-2.896,-2.225,-2.451,-1.838,-0.201,1298.0,96.38,?,?,?,?,?,?,?,?,?,?,?,453.6,'[\'Folk\']',112252.mp3
-137.1,13.72,-1.119,0.7541,-1.311,10.34,-1.114,-2.189,-0.9328,-0.5368,0.4233,-0.3744,-0.6431,0.6914,-138.5,14.2,-1.072,0.7408,-1.184,10.46,-1.047,-2.125,-1.049,-0.5466,0.3093,-0.3212,-0.5366,1385.0,141.9,?,?,?,104.5,?,21.02,?,?,?,?,?,310.2,'[\'Folk\']',091797.mp3
-91.21,11.81,-2.801,-1.153,-1.184,-3.399,0.6236,0.1371,-0.1587,-1.874,-1.121,-1.625,-1.483,1.456,-91.16,12.0,-2.829,-1.206,-1.138,-3.452,0.6964,0.2629,-0.203,-1.898,-1.096,-1.619,-1.46,911.6,120.0,28.25,11.97,?,34.33,?,?,?,18.88,?,16.09,14.5,343.4,'[\'Folk\']',040229.mp3
-110.4,7.225,-1.681,0.4224,0.3444,-1.601,0.4759,-1.603,0.9369,-0.8658,-2.307,-1.538,-2.3,1.816,-110.0,7.508,-1.445,0.5118,0.1665,-1.598,0.3755,-1.592,0.9277,-0.7822,-2.229,-1.285,-2.108,1100.0,74.95,?,?,?,?,?,?,?,?,22.18,?,20.96,532.2,'[\'Folk\']',067597.mp3
-120.8,14.06,-1.622,-0.6928,-0.4915,3.595,1.946,-1.071,0.3378,-0.6952,-0.6022,-1.268,-1.303,0.6077,-120.4,13.93,-1.569,-0.6346,-0.5097,3.73,2.012,-1.025,0.4347,-0.6681,-0.7409,-1.234,-1.239,1204.0,139.3,?,?,?,37.2,20.02,?,?,?,?,?,?,254.1,'[\'Folk\']',043962.mp3
-121.4,8.129,-1.788,-0.8092,-0.2049,1.605,1.953,1.821,0.711,-0.7757,-0.7799,-0.7695,-1.412,1.359,-122.3,7.976,-1.893,-0.9445,-0.1304,1.595,2.059,1.928,0.7673,-0.7865,-0.8105,-0.8577,-1.487,1223.0,79.64,?,?,?,?,?,?,?,?,?,?,?,457.7,'[\'Folk\']',126782.mp3
-148.3,-8.719,0.9335,0.6836,-0.3508,-21.23,-8.206,-5.344,-2.141,-3.768,-2.086,-0.5801,0.4209,0.7313,-148.3,-9.146,1.055,0.3676,-0.8325,-21.36,-8.0,-5.317,-2.247,-3.838,-1.796,-0.2317,0.8706,1483.0,91.34,?,?,?,213.5,79.95,53.07,?,38.29,?,?,?,892.2,'[\'Folk\']',040234.mp3
-111.5,14.57,-0.7105,-1.249,0.845,5.474,3.56,2.777,-0.04011,-1.319,-1.049,-1.242,-1.456,0.35,-109.5,14.12,-0.6438,-1.167,0.9001,5.453,3.714,2.813,0.03822,-1.26,-1.055,-1.184,-1.425,1095.0,141.1,?,11.5,?,54.49,37.1,28.08,?,12.48,?,?,14.14,223.2,'[\'Folk\']',110437.mp3
-127.4,12.31,-0.1334,-1.356,-1.826,3.588,3.221,1.432,1.133,1.955,1.575,-0.6105,-1.058,0.4904,-128.1,12.56,-0.03907,-1.408,-1.894,3.594,3.316,1.54,1.172,1.954,1.625,-0.5585,-0.9482,1281.0,125.5,?,?,?,?,33.0,?,?,19.4,?,?,?,138.3,'[\'Folk\']',108300.mp3
-101.4,8.99,-2.652,-1.116,0.5148,0.6737,0.3853,-5.544,0.3583,1.079,-0.5252,-0.5364,-2.14,1.435,-100.7,8.838,-2.603,-1.031,0.5837,0.7593,0.4934,-5.521,0.3106,1.041,-0.6323,-0.5916,-2.153,1007.0,88.27,25.94,?,?,?,?,55.17,?,?,?,?,21.44,492.9,'[\'Folk\']',116452.mp3
-127.2,11.21,-2.276,-1.591,-1.594,3.857,0.1978,-4.109,1.299,-0.1701,-0.7963,-1.39,-0.7605,0.8975,-127.0,11.12,-2.28,-1.538,-1.508,3.831,0.1426,-3.983,1.337,-0.2869,-0.8091,-1.377,-0.806,1270.0,111.1,?,?,?,38.17,?,39.76,?,?,?,?,?,323.3,'[\'Folk\']',091938.mp3
-111.8,5.05,-1.247,-1.074,-1.404,4.154,-2.33,-2.201,-0.5141,-2.81,-0.9522,-0.2452,-1.306,2.055,-111.6,4.933,-1.196,-1.015,-1.472,4.555,-2.48,-2.184,-0.5622,-2.808,-1.009,-0.3336,-1.326,1116.0,49.1,11.77,?,14.6,45.34,?,?,?,28.0,?,?,13.12,474.0,'[\'Folk\']',091796.mp3
-119.7,7.405,-0.5362,-1.445,-1.445,1.383,0.8045,0.4475,0.4604,-0.3315,1.201,0.8812,-0.06079,1.424,-120.0,7.553,-0.5221,-1.557,-1.469,1.376,0.6435,0.4596,0.3638,-0.346,1.345,1.134,0.09727,1200.0,75.31,?,?,?,?,?,?,?,?,?,?,?,493.3,'[\'Folk\']',126781.mp3
-89.79,9.172,0.3665,0.09556,-0.1829,-3.108,1.521,-0.7944,0.3792,-1.307,-0.6079,-1.445,-0.3939,2.043,-89.63,9.203,0.3152,0.07765,-0.1559,-3.157,1.487,-0.8089,0.3916,-1.272,-0.6463,-1.487,-0.4599,896.3,92.0,?,?,?,31.46,14.72,?,?,12.58,6.258,14.79,?,316.0,'[\'Folk\']',012062.mp3
-108.0,7.05,0.3418,-0.8971,-0.7236,0.4291,2.989,2.499,-0.7883,-1.327,-0.5742,-0.5484,-0.9786,?,-107.9,7.103,0.3641,-0.8346,-0.5838,0.5575,3.144,2.459,-0.9925,-1.445,-0.6165,-0.6618,-1.046,1079.0,70.94,?,?,?,?,31.39,24.47,?,?,?,?,?,360.4,'[\'Folk\']',082507.mp3
-82.91,9.349,-1.787,-1.404,-1.166,-2.89,1.026,2.076,-0.3568,1.595,-0.1557,-1.075,-1.597,1.723,-82.33,9.249,-1.777,-1.449,-1.114,-2.966,0.8725,2.005,-0.2313,1.585,-0.102,-1.115,-1.644,823.3,92.44,17.7,14.39,11.03,29.58,?,19.93,?,15.74,?,?,16.36,281.1,'[\'Folk\']',063253.mp3
-101.8,14.38,-1.98,-2.325,-0.9401,-1.336,-1.454,-2.259,0.7289,-1.938,-2.159,-0.2604,0.2951,1.139,-101.8,14.65,-1.936,-2.353,-0.9457,-1.122,-1.381,-2.198,0.841,-1.848,-2.006,-0.176,0.2925,1018.0,146.4,19.26,23.45,?,?,?,21.83,?,18.38,19.96,?,?,350.1,'[\'Folk\']',118674.mp3
-127.0,16.79,-1.368,-1.348,-2.169,4.115,-0.4271,-3.67,-2.13,-1.113,-0.07603,-0.3327,-0.5901,0.8557,-126.7,16.82,-1.423,-1.335,-2.138,4.022,-0.4084,-3.691,-2.181,-1.083,-0.1132,-0.2824,-0.6522,1267.0,168.2,?,?,21.29,40.11,?,36.83,21.64,?,?,?,?,334.8,'[\'Folk\']',073175.mp3
-135.4,14.66,-0.1253,-1.657,-0.5202,2.85,0.6617,-2.874,-1.219,0.7637,0.4498,0.4154,-0.1326,0.9838,-136.4,14.68,-0.2678,-1.651,-0.3903,3.019,0.6923,-2.628,-1.169,0.58,0.4582,0.3425,-0.2257,1364.0,146.7,?,?,?,29.9,?,26.11,?,?,?,?,?,292.0,'[\'Folk\']',006467.mp3
-93.15,8.111,0.482,-1.022,-0.3727,-0.4586,2.997,-0.506,-0.5502,-3.439,-2.301,1.018,-2.102,1.466,-93.24,8.396,0.4951,-0.9525,-0.3493,-0.1641,3.084,-0.2965,-0.3713,-3.426,-2.255,1.121,-2.068,932.4,83.87,?,?,?,?,30.78,?,?,34.23,22.5,?,20.62,336.6,'[\'Folk\']',012508.mp3
-96.82,8.299,-1.598,-0.4117,-1.029,1.722,1.601,-3.932,-0.5273,-0.2288,-1.402,-0.7555,-1.357,1.536,-97.04,8.398,-1.435,-0.4283,-1.012,1.74,1.588,-4.04,-0.6611,-0.2957,-1.409,-0.7745,-1.239,970.4,83.92,?,?,?,17.26,?,40.34,?,?,?,?,?,387.8,'[\'Folk\']',116454.mp3
-179.0,18.52,-0.4431,-0.03687,1.075,6.082,2.403,-2.206,-0.8681,-1.273,-2.174,-1.283,-2.16,0.3585,-179.4,18.72,-0.4673,0.0097,1.058,6.186,2.326,-2.457,-1.158,-1.321,-2.095,-1.107,-2.024,1794.0,187.1,?,?,?,61.61,?,?,?,?,?,?,?,395.2,'[\'Instrumental\']',125814.mp3
-138.5,14.67,3.104,-0.08694,-1.096,2.117,1.547,0.4051,-1.079,2.502,1.098,-0.8678,-0.6953,0.371,-140.1,14.9,3.23,0.146,-1.063,2.295,1.623,0.2089,-0.9362,2.596,1.142,-0.6736,-0.7024,1401.0,149.0,?,?,?,?,?,?,?,25.86,?,?,?,113.6,'[\'Instrumental\']',114533.mp3
-165.8,19.64,-2.455,-2.137,0.02638,5.875,3.596,2.036,2.09,-0.6081,-0.4157,0.08485,-1.874,0.2905,-165.9,19.6,-2.359,-2.087,0.03482,5.913,3.6,1.935,2.054,-0.605,-0.4452,0.07569,-1.844,1659.0,195.9,?,?,?,59.01,35.87,?,?,?,?,?,?,181.2,'[\'Instrumental\']',115474.mp3
-119.9,15.12,0.509,-0.257,0.4568,-0.3332,0.06015,0.752,0.1601,-3.487,-0.5169,-1.913,-0.2375,1.283,-119.7,15.08,0.3747,-0.2193,0.5045,-0.4585,-0.003904,0.7801,0.2295,-3.638,-0.5756,-1.959,-0.3104,1197.0,150.7,?,?,?,?,?,?,?,36.3,?,?,?,513.5,'[\'Instrumental\']',117159.mp3
-150.1,16.85,-0.4815,-0.8846,-1.372,-4.062,4.115,-0.5278,1.324,1.135,0.8628,0.3449,-0.2933,1.142,-150.6,16.59,-0.4716,-0.8824,-1.416,-3.918,4.082,-0.5347,1.321,1.122,0.8615,0.3852,-0.2514,1506.0,165.8,?,8.73,14.09,?,40.73,?,13.06,11.0,8.462,?,?,229.4,'[\'Instrumental\']',129040.mp3
-126.6,-11.27,-0.769,0.5316,-0.4984,-3.616,5.349,-0.923,-0.1777,1.071,-0.4284,-0.3658,-0.2094,3.22,-125.9,-11.28,-0.7542,0.3809,-0.5956,-3.562,5.282,-0.853,-0.1922,1.012,-0.4046,-0.3068,-0.2061,1259.0,112.8,?,?,?,?,52.74,?,?,?,?,?,?,1981.0,'[\'Instrumental\']',014588.mp3
-153.5,16.81,-0.6766,-1.163,0.1467,3.941,0.8109,1.796,1.19,0.2877,0.02092,-0.09489,-1.318,0.6649,-154.0,16.95,-0.783,-1.028,0.2548,4.153,0.8631,1.951,1.367,0.3583,-0.04202,-0.1912,-1.511,1540.0,169.3,?,?,?,?,?,?,?,?,?,?,?,475.0,'[\'Instrumental\']',125614.mp3
-174.3,21.21,-0.1609,-1.408,-1.634,2.305,1.814,-3.252,-1.054,-0.1393,-0.2063,1.147,-0.2523,0.7,-174.4,21.16,-0.3641,-1.517,-1.58,2.204,1.697,-3.406,-1.25,-0.1143,-0.05789,1.254,-0.3996,1744.0,211.3,?,?,?,?,?,?,?,?,?,?,?,320.2,'[\'Instrumental\']',116489.mp3
-102.3,6.385,-0.5648,-1.033,-1.217,-1.992,-1.635,-2.489,-0.118,-0.467,-0.1962,-0.9543,-0.1615,2.139,-101.9,5.68,-0.6522,-1.175,-1.357,-1.845,-1.752,-2.473,-0.1432,-0.7012,-0.2759,-0.7532,0.04788,1019.0,56.74,?,?,?,?,?,24.61,?,?,?,?,?,515.3,'[\'Instrumental\']',133973.mp3
-147.9,15.54,-1.557,-1.011,0.268,2.259,4.354,-3.512,-2.582,-3.79,-3.577,-0.7268,-0.6198,0.3607,-147.5,15.59,-1.646,-0.9175,0.5071,2.854,4.378,-3.728,-2.454,-3.849,-4.179,-1.137,-0.6537,1475.0,155.9,?,?,?,?,?,?,?,?,?,?,?,394.3,'[\'Instrumental\']',126014.mp3
-113.3,9.299,-0.1062,-0.6,-0.2864,0.3162,1.389,-2.02,0.2704,-0.5008,-0.6219,-0.6277,-0.5732,1.512,-114.4,9.541,-0.1444,-0.6191,-0.304,0.2033,1.481,-1.892,0.2378,-0.4525,-0.618,-0.6415,-0.6686,1144.0,95.37,?,?,?,?,?,?,?,?,?,?,?,226.0,'[\'Instrumental\']',108471.mp3
-116.0,19.72,0.005876,-3.066,-3.934,3.287,0.6087,-1.155,3.227,1.167,0.1491,0.8504,2.482,0.5467,-115.4,19.45,-0.116,-3.05,-3.832,3.299,0.6597,-1.13,3.349,1.232,0.07215,0.9585,2.406,1154.0,194.5,?,30.46,38.28,?,?,?,33.43,?,?,?,23.98,166.9,'[\'Instrumental\']',139773.mp3
-98.47,16.3,0.1732,1.175,-1.545,-0.9359,-1.193,-3.681,1.045,0.7988,-3.01,1.309,-1.511,1.373,-98.51,16.43,0.2515,1.207,-1.569,-0.9284,-1.251,-3.649,1.069,0.8378,-3.034,1.293,-1.552,985.1,164.2,?,12.01,15.64,?,12.42,36.47,10.62,?,30.31,12.84,15.47,359.2,'[\'Instrumental\']',014577.mp3
-136.6,14.96,-1.571,-0.5517,-0.1993,4.907,0.9062,-0.075,0.6654,-1.166,1.697,1.64,-0.5578,0.6462,-137.4,15.15,-1.488,-0.5816,-0.1087,5.182,0.8871,-0.06944,0.6705,-1.088,1.633,1.659,-0.5402,1374.0,151.5,?,?,?,51.77,?,?,?,?,?,16.54,?,194.3,'[\'Instrumental\']',126416.mp3
-153.4,21.96,-1.233,-0.694,-0.5601,-0.5644,3.001,-1.218,-0.2612,0.8855,0.8659,-0.2678,-1.625,0.6616,-155.5,22.63,-1.344,-0.6667,-0.6104,-0.9596,3.121,-1.233,-0.1723,0.9429,0.8675,-0.2741,-1.675,1555.0,226.3,?,?,?,?,31.16,?,?,?,?,?,?,212.7,'[\'Instrumental\']',108476.mp3
-167.5,8.684,-1.083,0.3729,0.6156,2.071,3.118,-0.9583,-1.668,-1.041,-0.69,-1.335,0.1155,?,-168.6,8.596,-1.066,0.4828,0.7746,2.185,3.114,-0.9711,-1.542,-1.201,-0.8239,-1.515,-0.09439,1686.0,?,?,?,?,?,?,?,?,?,?,?,?,250.7,'[\'Instrumental\']',117172.mp3
-110.1,5.492,0.5955,-0.645,-1.352,-1.355,-1.488,-2.724,-0.5064,-0.6774,0.3683,-0.3963,0.8587,2.052,-110.5,5.676,0.4853,-0.8017,-1.432,-1.336,-1.384,-2.727,-0.5221,-0.7981,0.3499,-0.3978,0.8622,1105.0,56.71,?,?,14.23,?,13.67,?,?,?,?,?,?,444.1,'[\'Instrumental\']',123523.mp3
-150.2,28.25,0.04216,0.5659,-0.2674,4.131,-1.698,2.015,0.4883,0.6002,0.5873,0.7735,0.6272,0.4081,-150.8,28.44,-0.004901,0.5378,-0.2733,4.275,-1.807,1.93,0.5448,0.6038,0.4399,0.848,0.733,1508.0,284.2,?,?,?,?,?,?,?,?,?,?,?,178.3,'[\'Instrumental\']',127661.mp3
-140.4,15.48,0.4144,0.8034,0.1071,1.896,1.181,-0.6615,-0.1156,-1.237,-0.2552,-0.4564,0.4987,1.09,-139.8,15.21,0.59,0.7051,0.01957,1.819,1.284,-0.6441,-0.0803,-1.259,-0.3087,-0.5096,0.6084,1398.0,151.9,?,?,?,?,?,?,?,?,?,?,?,405.0,'[\'Instrumental\']',126720.mp3
-120.5,4.008,-1.023,-0.9299,-0.9569,1.582,1.564,0.2209,0.9555,-0.2422,0.05352,0.4139,0.2025,1.419,-119.9,3.637,-1.088,-0.8887,-0.8833,1.736,1.625,0.1679,0.9274,-0.2811,0.003532,0.3941,0.1677,1199.0,36.29,?,?,?,?,16.12,?,?,?,?,?,?,156.9,'[\'Instrumental\']',139771.mp3
-91.75,4.693,-0.7274,-1.187,-0.7756,4.732,3.956,1.332,1.785,0.7682,0.3962,-0.7256,-0.9217,?,-91.54,4.559,-0.7481,-1.235,-0.784,4.645,4.033,1.421,1.757,0.7253,0.3142,-0.8167,-0.9516,915.4,45.47,7.288,12.23,?,46.41,40.23,?,17.42,?,?,?,?,173.9,'[\'Instrumental\']',122648.mp3
-147.7,16.63,-0.1271,-1.152,-0.7427,2.442,4.65,-0.6937,-0.03736,-0.836,-0.6567,-1.364,-0.2366,0.5571,-146.5,16.4,-0.05969,-1.092,-0.6461,2.56,4.872,-0.6627,0.1665,-0.8398,-0.6708,-1.434,-0.1939,1465.0,163.9,?,?,?,?,48.64,?,?,?,?,?,?,212.5,'[\'Instrumental\']',125824.mp3
-127.6,19.76,-0.6082,-0.8296,0.3316,7.74,0.237,0.04674,2.344,-0.2362,-0.8183,-0.0636,-0.02364,?,-128.2,19.89,-0.8088,-0.9069,0.219,7.754,0.1395,-0.08494,2.637,-0.2612,-0.8001,0.05532,0.01822,1282.0,198.8,?,?,?,77.46,?,?,?,?,?,?,?,210.6,'[\'Instrumental\']',122634.mp3
-153.3,19.7,1.277,0.07106,-0.8171,3.481,4.33,0.9687,0.9699,0.227,1.615,0.64,0.3578,0.2354,-151.9,19.12,1.234,0.06121,-0.7618,3.437,4.284,0.9573,1.172,0.3778,1.567,0.4864,0.2354,1519.0,191.1,?,?,?,34.08,42.74,?,?,?,15.51,?,?,155.7,'[\'Instrumental\']',116099.mp3
-133.9,8.768,0.1305,-2.602,1.188,2.183,1.988,-0.838,0.4207,-3.368,0.2295,-1.006,0.3663,1.66,-132.8,8.311,0.1794,-2.625,1.252,2.079,1.869,-0.8163,0.3783,-3.383,0.3694,-0.9071,0.3723,1328.0,83.08,?,26.22,?,20.71,18.61,?,?,33.8,?,8.906,?,293.7,'[\'Instrumental\']',128816.mp3
